Date,Open,High,Low,Close,Adj Close,Volume
8/5/2018,407.35,413.72,402.43,410.52,410.52,1396820000
8/6/2018,410.57,414.54,403.32,406.66,406.66,1384880000
8/7/2018,406.80,411.40,376.08,380.21,380.21,1828350000
8/8/2018,379.89,380.67,353.73,356.61,356.61,2016080000
8/9/2018,356.97,370.95,353.61,365.59,365.59,1616610000
8/10/2018,365.78,367.05,329.59,334.18,334.18,1699400000
8/11/2018,334.26,334.26,308.49,322.11,322.11,1790370000
8/12/2018,320.82,328.59,318.60,319.57,319.57,1625420000
8/13/2018,320.21,323.55,284.93,286.49,286.49,1751190000
8/14/2018,286.36,286.36,254.65,278.93,278.93,2137850000
8/15/2018,280.39,303.59,280.12,282.36,282.36,1878150000
8/16/2018,282.74,298.48,280.93,288.05,288.05,1552970000
8/17/2018,287.68,316.17,287.35,315.73,315.73,1995460000
8/18/2018,316.79,320.45,286.55,295.81,295.81,1764020000
8/19/2018,295.67,307.10,291.33,300.83,300.83,1447910000
8/20/2018,301.38,304.37,273.51,274.32,274.32,1413790000
8/21/2018,273.33,285.97,273.33,281.94,281.94,1164120000
8/22/2018,281.97,297.49,265.00,271.34,271.34,1507660000
8/23/2018,271.75,279.55,271.09,277.10,277.10,1271160000
8/24/2018,278.11,283.30,273.86,282.97,282.97,1450170000
8/25/2018,283.28,283.52,278.47,279.65,279.65,1208360000
8/26/2018,279.52,279.52,272.44,275.20,275.20,1206650000
8/27/2018,275.35,285.60,273.65,285.60,285.60,1406790000
8/28/2018,286.65,297.40,283.57,296.50,296.50,1513350000
8/29/2018,296.16,297.07,287.29,289.31,289.31,1474460000
8/30/2018,289.75,291.24,275.21,284.11,284.11,1513100000
8/31/2018,284.12,284.55,278.51,283.00,283.00,1411910000
9/1/2018,283.50,301.14,283.50,295.34,295.34,1546630000
9/2/2018,295.45,298.69,290.93,294.37,294.37,1321050000
9/3/2018,295.18,295.59,287.43,289.26,289.26,1394490000
9/4/2018,289.30,291.58,284.26,285.72,285.72,1554870000
9/5/2018,286.05,288.16,232.33,232.33,232.33,2390390000
9/6/2018,231.65,231.76,218.12,230.21,230.21,2097310000
9/7/2018,229.54,233.90,217.07,217.20,217.20,1678260000
9/8/2018,217.91,220.37,193.26,197.95,197.95,1517200000
9/9/2018,198.38,207.67,188.31,196.92,196.92,1585980000
9/10/2018,197.85,201.88,189.58,197.08,197.08,1502960000
9/11/2018,198.18,198.51,180.60,185.07,185.07,1568900000
9/12/2018,185.42,185.59,170.26,183.33,183.33,1874850000
9/13/2018,183.68,214.00,183.68,211.35,211.35,2330720000
9/14/2018,212.67,222.79,204.87,211.75,211.75,2232190000
